strategy_id,family,category,market,lookback_d,holding_d,weighting,universe,tier,shortable,gross_sharpe,ann_turnover_x,cost_drag_sr,net_cost_sharpe,noise_floor,net_deflated_sharpe,t_naive,t_deflated,survives_95,survives_strict
"Value (E/P, CH-3 VMG|HK_equity|L10|H10|rank|top300","Value (E/P, CH-3 VMG)",equity_factor,HK_equity,10,10,rank,top300,A,True,0.92,5.7,0.069,0.851,0.819,0.032,2.95,0.11,False,False
Commodity TS-momentu|commodity_fut|L250|H20|rank|all,Commodity TS-momentum,futures,commodity_fut,250,20,rank,all,A,True,0.884,10.0,0.033,0.85,0.819,0.031,2.95,0.11,False,False
Commodity basis-mome|index_fut|L20|H1|rank|all,Commodity basis-momentum,futures,index_fut,20,1,rank,all,A,True,0.925,35.8,0.08,0.845,0.819,0.026,2.93,0.09,False,False
Mispricing composite|A_share|L120|H10|rank|ex_smal,Mispricing composite (SY),equity_factor,A_share,120,10,rank,ex_small30,B,False,0.954,11.3,0.113,0.841,0.819,0.022,2.91,0.08,False,False
Commodity curve mome|index_fut|L250|H5|equa|all,Commodity curve momentum,futures,index_fut,250,5,equal,all,A,True,0.865,16.0,0.036,0.83,0.819,0.011,2.87,0.04,False,False
Commodity XS-momentu|commodity_fut|L60|H20|rank|ex_smal,Commodity XS-momentum,futures,commodity_fut,60,20,rank,ex_small30,A,True,0.859,10.0,0.033,0.826,0.819,0.007,2.86,0.02,False,False
Mispricing composite|HK_equity|L120|H20|rank|liquid_,Mispricing composite (SY),equity_factor,HK_equity,120,20,rank,liquid_top50pct,B,False,0.92,8.0,0.098,0.822,0.819,0.003,2.85,0.01,False,False
Commodity TS-momentu|commodity_fut|L60|H20|valu|all,Commodity TS-momentum,futures,commodity_fut,60,20,value,all,A,True,0.845,10.0,0.033,0.812,0.819,-0.007,2.81,-0.03,False,False
ML cross-sectional (|HK_equity|L10|H60|rank|top300,ML cross-sectional (alpha101),ml_equity,HK_equity,10,60,rank,top300,C,True,0.953,11.5,0.141,0.812,0.819,-0.007,2.81,-0.02,False,False
Commodity curve mome|commodity_fut|L20|H20|equa|top300,Commodity curve momentum,futures,commodity_fut,20,20,equal,top300,A,True,0.837,8.0,0.027,0.811,0.819,-0.008,2.81,-0.03,False,False
Commodity XS-momentu|commodity_fut|L10|H60|valu|all,Commodity XS-momentum,futures,commodity_fut,10,60,value,all,A,True,0.827,5.8,0.019,0.808,0.819,-0.011,2.8,-0.04,False,False
Options variance ris|50ETF_option|L120|H20|vol_|all,Options variance risk premium,options,50ETF_option,120,20,vol_scaled,all,B,True,1.084,24.0,0.28,0.804,0.819,-0.015,2.78,-0.05,False,False
Mispricing composite|A_share|L10|H20|valu|liquid_,Mispricing composite (SY),equity_factor,A_share,10,20,value,liquid_top50pct,B,False,0.883,8.0,0.08,0.803,0.819,-0.016,2.78,-0.05,False,False
Index-futures basis |index_fut|L250|H20|valu|liquid_,Index-futures basis (IF/IC),futures,index_fut,250,20,value,liquid_top50pct,B,True,0.828,12.0,0.027,0.801,0.819,-0.018,2.78,-0.06,False,False
Commodity TS-momentu|index_fut|L10|H10|equa|liquid_,Commodity TS-momentum,futures,index_fut,10,10,equal,liquid_top50pct,A,True,0.83,14.1,0.031,0.799,0.819,-0.02,2.77,-0.07,False,False
Commodity carry/basi|commodity_fut|L120|H5|valu|all,Commodity carry/basis,futures,commodity_fut,120,5,value,all,A,True,0.837,12.0,0.04,0.797,0.819,-0.022,2.76,-0.08,False,False
Commodity TS-momentu|commodity_fut|L20|H1|equa|all,Commodity TS-momentum,futures,commodity_fut,20,1,equal,all,A,True,0.941,44.7,0.149,0.792,0.819,-0.027,2.74,-0.09,False,False
